Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassBase
File,"maven-maven-3.0/apache-maven/pom.xml",maven-maven-3.0/apache-maven/pom.xml,0,0,0,0,183,8,159,16,,,,0,,,0,,0,,,,,,,,,,183,0,0,0,8,0,0,0,159,0,0,,,16,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.10,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/conf/settings.xml",maven-maven-3.0/apache-maven/src/conf/settings.xml,0,0,0,0,257,18,15,224,,,,0,,,0,,0,,,,,,,,,,257,0,0,0,18,0,0,0,15,0,0,,,224,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,14.93,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/main/assembly/bin.xml",maven-maven-3.0/apache-maven/src/main/assembly/bin.xml,0,0,0,0,102,4,60,38,,,,0,,,0,,0,,,,,,,,,,102,0,0,0,4,0,0,0,60,0,0,,,38,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.63,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/main/assembly/src.xml",maven-maven-3.0/apache-maven/src/main/assembly/src.xml,0,0,0,0,53,4,32,17,,,,0,,,0,,0,,,,,,,,,,53,0,0,0,4,0,0,0,32,0,0,,,17,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.53,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/site/site.xml",maven-maven-3.0/apache-maven/src/site/site.xml,0,0,0,0,8,0,8,0,,,,0,,,0,,0,,,,,,,,,,8,0,0,0,0,0,0,0,8,0,0,,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.00,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/test/java/org/apache/maven/settings/GlobalSettingsTest.java",maven-maven-3.0/apache-maven/src/test/java/org/apache/maven/settings/GlobalSettingsTest.java,1,1,1,1,18,2,16,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,60,,,,9,,,,27,,,14,8,24,,,,,,,13,16,12,,,4,,,,,,,,1,1,1,1,,,1,,,,0.89,1,1,1,1,
File,"maven-maven-3.0/build.xml",maven-maven-3.0/build.xml,0,0,0,0,275,34,201,40,,,,0,,,0,,0,,,,,,,,,,275,0,0,0,34,0,0,0,201,0,0,,,40,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.20,0,0,0,0,
File,"maven-maven-3.0/maven-aether-provider/pom.xml",maven-maven-3.0/maven-aether-provider/pom.xml,0,0,0,0,74,10,48,16,,,,0,,,0,,0,,,,,,,,,,74,0,0,0,10,0,0,0,48,0,0,,,16,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.33,0,0,0,0,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java,3,3,3,1,20,1,18,0,,,,1,2,0,16,,16,14,5,16,,1,8,0,7,,446,,,,51,,,,374,,,131,162,21,,,,,,,186,242,122,,,120,,,,,,,,15,15,16,10,,,4,,,,0.06,52,52,54,25,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelCache.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelCache.java,1,1,2,1,8,0,7,0,,,,2,1,0,7,,7,6,7,7,,0,1,0,6,,119,,,,21,,,,75,,,25,26,23,,,,,,,32,44,22,,,22,,,,,,,,3,3,7,3,,,1,,,,0.31,10,10,14,9,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelResolver.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelResolver.java,1,1,1,1,11,1,10,0,,,,1,0,0,5,,5,5,6,5,,0,1,0,4,,127,,,,21,,,,81,,,41,26,25,,,,,,,48,56,36,,,20,,,,,,,,2,2,2,1,,,1,,,,0.31,7,7,7,5,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultServiceLocator.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultServiceLocator.java,1,1,1,1,11,0,8,3,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,51,,,,5,,,,17,,,8,5,29,,,,,,,10,12,7,,,5,,,,,,,,1,1,1,1,,,0,,,,1.71,1,1,1,1,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionRangeResolver.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionRangeResolver.java,3,3,3,1,24,2,21,0,,,,1,0,1,7,,7,7,2,7,,0,3,0,4,,251,,,,34,,,,195,,,77,79,22,,,,,,,95,124,73,,,51,,,,,,,,8,8,8,1,,,4,,,,0.11,26,26,27,7,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionResolver.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionResolver.java,3,3,4,1,22,1,20,0,,,,4,0,4,17,,17,17,18,17,,0,7,0,10,,528,,,,77,,,,425,,,130,192,26,,,,,,,191,256,123,,,133,,,,,,,,20,20,26,3,,,4,,,,0.06,60,60,79,21,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/LocalSnapshotMetadata.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/LocalSnapshotMetadata.java,1,1,1,1,5,0,5,0,,,,1,2,0,10,,10,8,1,10,,0,1,0,9,,101,,,,18,,,,62,,,22,21,21,,,,,,,28,39,21,,,18,,,,,,,,1,1,1,1,,,0,,,,0.34,10,10,10,10,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/LocalSnapshotMetadataGenerator.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/LocalSnapshotMetadataGenerator.java,1,1,1,1,7,0,7,0,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,76,,,,11,,,,44,,,19,11,21,,,,,,,19,28,19,,,9,,,,,,,,4,4,4,1,,,3,,,,0.48,7,7,7,4,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/MavenMetadata.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/MavenMetadata.java,2,2,2,1,12,0,11,0,,,,1,0,0,9,,9,9,3,9,,0,2,2,5,,171,,,,24,,,,126,,,39,47,21,,,,,,,52,70,34,,,36,,,,,,,,4,4,4,4,,,1,,,,0.17,18,18,18,12,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/MavenRepositorySystemSession.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/MavenRepositorySystemSession.java,1,1,1,1,48,7,37,4,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,104,,,,12,,,,63,,,32,32,29,,,,,,,51,53,29,,,24,,,,,,,,1,1,1,1,,,0,,,,0.46,1,1,1,1,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/RelocatedArtifact.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/RelocatedArtifact.java,1,1,1,1,6,0,6,0,,,,1,0,0,11,,11,11,4,11,,0,0,0,11,,126,,,,20,,,,85,,,22,25,21,,,,,,,27,43,21,,,22,,,,,,,,5,5,8,1,,,1,,,,0.25,18,18,21,11,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/RemoteSnapshotMetadata.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/RemoteSnapshotMetadata.java,1,1,1,1,9,0,8,0,,,,1,3,1,15,,15,12,3,15,,0,4,1,10,,214,,,,37,,,,156,,,51,67,21,,,,,,,73,101,51,,,50,,,,,,,,8,8,8,1,,,3,,,,0.13,25,25,26,15,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/RemoteSnapshotMetadataGenerator.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/RemoteSnapshotMetadataGenerator.java,2,2,3,1,14,1,12,1,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,107,,,,15,,,,65,,,24,22,27,,,,,,,28,42,25,,,17,,,,,,,,4,4,4,1,,,3,,,,0.42,11,11,12,4,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/SnapshotMetadataGeneratorFactory.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/SnapshotMetadataGeneratorFactory.java,1,1,1,1,4,0,4,0,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,52,,,,7,,,,24,,,13,3,21,,,,,,,10,14,11,,,3,,,,,,,,1,1,1,1,,,0,,,,0.88,3,3,3,3,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/VersionsMetadata.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/VersionsMetadata.java,1,1,1,1,5,0,5,0,,,,1,2,0,10,,10,8,1,10,,0,1,0,9,,101,,,,18,,,,62,,,20,20,21,,,,,,,25,37,19,,,18,,,,,,,,2,2,2,1,,,1,,,,0.34,12,12,12,10,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/VersionsMetadataGenerator.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/VersionsMetadataGenerator.java,1,1,1,1,9,0,8,1,,,,1,0,0,6,,6,6,2,6,,0,1,0,5,,108,,,,15,,,,66,,,26,20,27,,,,,,,31,43,27,,,16,,,,,,,,4,4,4,1,,,3,,,,0.41,11,11,11,6,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/VersionsMetadataGeneratorFactory.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/VersionsMetadataGeneratorFactory.java,1,1,1,1,4,0,4,0,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,52,,,,7,,,,24,,,13,3,21,,,,,,,10,14,11,,,3,,,,,,,,1,1,1,1,,,0,,,,0.88,3,3,3,3,
File,"maven-maven-3.0/maven-artifact/pom.xml",maven-maven-3.0/maven-artifact/pom.xml,0,0,0,0,49,7,33,9,,,,0,,,0,,0,,,,,,,,,,49,0,0,0,7,0,0,0,33,0,0,,,9,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.27,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/Artifact.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/Artifact.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,45,45,12,45,,45,0,0,0,,157,,,,63,,,,75,,,73,12,20,,,,,,,69,70,70,,,0,,,,,,,,0,0,0,0,,,0,,,,0.27,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/ArtifactUtils.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/ArtifactUtils.java,2,2,2,1,14,1,11,1,,,,1,12,0,12,,12,0,0,12,,0,1,0,11,,215,,,,30,,,,152,,,27,65,33,,,,,,,50,85,29,,,56,,,,,,,,4,4,4,4,,,2,,,,0.22,32,32,32,15,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/DefaultArtifact.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/DefaultArtifact.java,1,1,1,1,7,0,7,0,,,,1,0,0,58,,58,58,19,58,,0,4,2,52,,597,,,,106,,,,461,,,108,168,30,,,,,,,160,250,102,,,148,,,,,,,,9,9,9,8,,,5,,,,0.07,91,91,98,65,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/InvalidArtifactRTException.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/InvalidArtifactRTException.java,1,1,1,1,6,0,6,0,,,,1,0,0,9,,9,9,5,9,,0,0,0,9,,100,,,,14,,,,64,,,26,18,22,,,,,,,24,34,16,,,18,,,,,,,,1,1,1,1,,,0,,,,0.34,9,9,9,9,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/handler/ArtifactHandler.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/handler/ArtifactHandler.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,7,7,1,7,,7,0,0,0,,43,,,,9,,,,12,,,10,1,22,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,,0,,,,1.83,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/metadata/ArtifactMetadata.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/metadata/ArtifactMetadata.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,27,,,,2,,,,7,,,5,0,18,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,2.57,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/ArtifactRepository.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/ArtifactRepository.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,26,26,0,26,,26,0,0,0,,99,,,,28,,,,38,,,36,0,33,,,,,,,32,33,33,,,0,,,,,,,,0,0,0,0,,,0,,,,0.87,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/ArtifactRepositoryPolicy.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/ArtifactRepositoryPolicy.java,2,2,2,1,11,0,10,0,,,,1,0,7,14,,14,14,3,14,,0,2,0,12,,224,,,,34,,,,164,,,37,73,26,,,,,,,61,93,36,,,57,,,,,,,,6,6,6,4,,,2,,,,0.16,31,31,33,19,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/Authentication.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/Authentication.java,1,1,1,1,8,0,4,4,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,79,,,,8,,,,27,,,9,6,44,,,,,,,9,15,9,,,6,,,,,,,,1,1,1,1,,,0,,,,1.63,5,5,5,5,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/ArtifactRepositoryLayout.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/ArtifactRepositoryLayout.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,4,4,1,4,,4,0,0,0,,38,,,,7,,,,12,,,10,1,19,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,,0,,,,1.58,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/ArtifactRepositoryLayout2.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/ArtifactRepositoryLayout2.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,31,,,,4,,,,9,,,7,0,18,,,,,,,4,5,5,,,0,,,,,,,,0,0,0,0,,,0,,,,2.00,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/metadata/RepositoryMetadataStoreException.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/metadata/RepositoryMetadataStoreException.java,1,1,1,1,4,0,4,0,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,41,,,,3,,,,14,,,6,2,24,,,,,,,3,6,4,,,2,,,,,,,,1,1,1,1,,,0,,,,1.71,2,2,2,2,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java,1,1,1,1,14,1,13,0,,,,1,3,1,18,,18,15,9,18,,0,1,7,10,,344,,,,51,,,,264,,,79,127,29,,,,,,,131,162,44,,,118,,,,,,,,8,8,9,1,,,4,,,,0.11,31,31,34,18,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactNotFoundException.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactNotFoundException.java,1,1,1,1,6,0,6,0,,,,1,0,0,6,,6,6,1,6,,0,1,2,3,,82,,,,14,,,,47,,,18,15,21,,,,,,,13,20,12,,,8,,,,,,,,1,1,1,1,,,0,,,,0.45,6,6,6,6,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionException.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionException.java,1,1,1,1,4,0,4,0,,,,1,0,0,6,,6,6,0,6,,0,0,0,6,,68,,,,10,,,,36,,,16,6,22,,,,,,,10,17,11,,,6,,,,,,,,1,1,1,1,,,0,,,,0.61,6,6,6,6,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/CyclicDependencyException.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/CyclicDependencyException.java,1,1,1,1,5,0,5,0,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,46,,,,5,,,,17,,,8,3,24,,,,,,,6,9,6,,,3,,,,,,,,1,1,1,1,,,0,,,,1.41,2,2,2,2,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/MultipleArtifactsNotFoundException.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/MultipleArtifactsNotFoundException.java,1,1,1,1,15,2,9,3,,,,1,1,0,5,,5,4,2,5,,0,1,0,4,,122,,,,20,,,,61,,,24,23,41,,,,,,,25,34,18,,,16,,,,,,,,3,3,3,1,,,1,,,,0.67,7,7,7,5,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/filter/ArtifactFilter.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/filter/ArtifactFilter.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,31,,,,3,,,,6,,,4,0,22,,,,,,,3,4,4,,,0,,,,,,,,0,0,0,0,,,0,,,,3.67,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ArtifactVersion.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ArtifactVersion.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,43,,,,7,,,,11,,,9,0,25,,,,,,,7,8,8,,,0,,,,,,,,0,0,0,0,,,0,,,,2.27,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ComparableVersion.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ComparableVersion.java,2,2,2,1,13,1,11,1,,,,5,2,6,24,,27,25,8,27,,4,2,0,21,,466,,,,72,,,,317,,,76,142,87,,,,,,,120,174,73,,,101,,,,,,,,13,13,16,8,,,4,,,,0.27,65,57,71,41,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/DefaultArtifactVersion.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/DefaultArtifactVersion.java,3,3,3,1,15,0,14,0,,,,1,1,0,12,,12,11,6,12,,0,1,0,11,,241,,,,30,,,,184,,,33,78,27,,,,,,,60,94,29,,,65,,,,,,,,13,13,17,3,,,3,,,,0.15,37,37,42,14,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/InvalidVersionSpecificationException.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/InvalidVersionSpecificationException.java,1,1,1,1,4,0,4,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,,,,2,,,,9,,,4,1,24,,,,,,,2,4,3,,,1,,,,,,,,1,1,1,1,,,0,,,,2.67,1,1,1,1,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/OverConstrainedVersionException.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/OverConstrainedVersionException.java,1,1,1,1,5,0,5,0,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,50,,,,6,,,,20,,,12,2,24,,,,,,,7,10,8,,,2,,,,,,,,1,1,1,1,,,0,,,,1.20,2,2,2,2,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/Restriction.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/Restriction.java,3,3,3,2,16,1,14,0,,,,1,0,1,9,,9,9,4,9,,0,0,0,9,,200,,,,31,,,,145,,,24,63,24,,,,,,,46,76,21,,,55,,,,,,,,11,11,11,11,,,2,,,,0.17,33,33,35,25,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java,4,4,6,1,31,2,25,3,,,,1,3,0,17,,17,14,2,17,,0,3,0,14,,584,,,,58,,,,436,,,77,211,90,,,,,,,146,224,75,,,149,,,,,,,,19,19,28,4,,,5,,,,0.21,77,77,103,24,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/repository/Proxy.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/repository/Proxy.java,1,1,1,1,7,0,4,3,,,,1,0,3,16,,16,16,8,16,,0,0,0,16,,197,,,,28,,,,79,,,29,19,90,,,,,,,28,45,29,,,16,,,,,,,,1,1,1,1,,,0,,,,1.14,16,16,16,16,
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/repository/legacy/metadata/ArtifactMetadata.java",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/repository/legacy/metadata/ArtifactMetadata.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,84,,,,13,,,,19,,,17,0,52,,,,,,,14,15,15,,,0,,,,,,,,0,0,0,0,,,0,,,,2.74,0,0,0,0,
File,"maven-maven-3.0/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/ComparableVersionTest.java",maven-maven-3.0/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/ComparableVersionTest.java,1,1,1,1,15,1,13,0,,,,1,0,2,10,,10,10,0,10,,0,4,0,6,,207,,,,26,,,,153,,,34,101,28,,,,,,,101,118,31,,,87,,,,,,,,4,4,4,1,,,2,,,,0.18,14,14,14,10,
File,"maven-maven-3.0/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/DefaultArtifactVersionTest.java",maven-maven-3.0/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/DefaultArtifactVersionTest.java,1,1,1,1,14,1,12,0,,,,1,0,0,11,,11,11,0,11,,0,4,0,7,,205,,,,27,,,,147,,,21,107,32,,,,,,,103,115,18,,,97,,,,,,,,1,1,1,1,,,0,,,,0.22,11,11,11,11,
File,"maven-maven-3.0/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/VersionRangeTest.java",maven-maven-3.0/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/VersionRangeTest.java,1,1,1,1,66,5,60,0,,,,1,0,8,10,,10,10,0,10,,0,1,0,9,,730,,,,75,,,,622,,,44,574,33,,,,,,,576,588,37,,,551,,,,,,,,2,2,2,1,,,1,,,,0.05,11,11,11,10,
File,"maven-maven-3.0/maven-compat/pom.xml",maven-maven-3.0/maven-compat/pom.xml,0,0,0,0,113,7,97,9,,,,0,,,0,,0,,,,,,,,,,113,0,0,0,7,0,0,0,97,0,0,,,9,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.09,0,0,0,0,
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/ArtifactScopeEnum.java",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/ArtifactScopeEnum.java,2,2,2,2,11,0,8,2,,,,1,1,2,7,,5,6,7,7,,2,0,0,5,,133,,,,16,,,,75,,,17,30,42,,,,,,,19,36,13,,,23,,,,,,,,6,6,6,6,,,4,,,,0.56,18,18,18,17,
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/UnknownRepositoryLayoutException.java",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/UnknownRepositoryLayoutException.java,1,1,1,1,4,0,4,0,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,54,,,,8,,,,21,,,8,5,25,,,,,,,8,12,7,,,5,,,,,,,,1,1,1,1,,,0,,,,1.19,3,3,3,3,
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/deployer/ArtifactDeployer.java",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/deployer/ArtifactDeployer.java,0,0,0,0,0,0,0,0,,,,1,0,0,0,,2,2,1,2,,2,0,0,0,,61,,,,6,,,,15,,,13,1,40,,,,,,,7,8,8,,,0,,,,,,,,0,0,0,0,,,0,,,,2.67,0,0,0,0,
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/deployer/ArtifactDeploymentException.java",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/deployer/ArtifactDeploymentException.java,1,1,1,1,4,0,4,0,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,44,,,,4,,,,18,,,7,3,22,,,,,,,4,8,5,,,3,,,,,,,,1,1,1,1,,,0,,,,1.22,3,3,3,3,
